sine coulomb matrix eig 1,MagpieData avg_dev GSvolume_pa,MagpieData avg_dev MendeleevNumber,MagpieData maximum CovalentRadius,MagpieData avg_dev Electronegativity,MagpieData avg_dev CovalentRadius,efermi,formation_energy_per_atom,MagpieData mean SpaceGroupNumber,MagpieData avg_dev Number,MagpieData avg_dev Row,MagpieData mean Number,MagpieData mean NValence,uncorrected_energy_per_atom,sine coulomb matrix eig 4,MagpieData avg_dev NValence,MagpieData avg_dev NdValence,MagpieData avg_dev NUnfilled,MagpieData mean NUnfilled,sine coulomb matrix eig 50,MagpieData mean GSmagmom,MagpieData avg_dev NpUnfilled,energy_above_hull,MagpieData minimum GSmagmom,avg anion electron affinity,MagpieData mean GSbandgap,MagpieData avg_dev MeltingT,MagpieData maximum MeltingT,vpa,volume,spacegroup_num,packing fraction,MagpieData mean Electronegativity,MagpieData mean CovalentRadius,GVRH
1113.8278376968804,11.857388649425,35.0,176.0,0.9534722222222222,48.47222222222222,3.754327179999999,-1.00085639941092,211.41666666666663,6.666666666666667,0.9722222222222222,15.0,3.6666666666666665,-9.589326951666669,688.1240099596579,1.6666666666666667,0.7638888888888888,1.6666666666666667,1.6666666666666667,0.0,2.584339080458333e-05,1.4583333333333333,0.0,0.0,-21000.0,2.6820833333333334,539.4201388888889,1519.0,17.086427746211132,410.07415398514337,193,0.7989768358402339,1.8958333333333333,129.16666666666666,38.848
19028.77298623068,13.659999999999998,34.0,195.0,0.3350000000000001,25.0,4.01961592,-0.494066029999999,209.5,21.5,0.5,59.5,14.5,-34.656548855,0.0,12.5,5.0,2.5,2.5,0.0,0.0,2.5,0.0,0.0,,0.0,236.5,1050.0,33.53229890042834,67.06459780085667,221,0.9280788328551776,1.285,170.0,18.121
204.7147738504292,8.212500000000002,30.0,215.0,0.29625,37.5,6.33678949,-0.344917513749998,196.25,29.0,1.5,60.0,5.5,-41.946892825,5863.244684053694,4.25,3.5,3.5,5.5,0.0,0.0,1.5,0.0,0.0,,0.0,304.48,1323.0,34.527154402877976,138.1086176115119,225,0.6446080668845339,1.3675000000000002,177.5,15.688
11932.989919245998,2.034166666649999,35.75,192.0,0.7349999999999999,29.5,1.8908047,-1.9887348307812511,112.75,15.25,0.875,36.5,11.5,-18.2558960675,2624.6029428316947,5.25,5.0,0.5,2.0,0.0,0.0,1.0,0.0,0.0,-390000.0,0.3995,485.26625,1747.0,25.19187113715159,100.7674679851322,166,0.5916548860038486,1.815,149.5,24.123
42.55516930897603,5.525,17.0,160.0,0.5049999999999999,42.0,7.67533018,-0.809061625416667,194.0,8.0,1.0,14.0,4.0,-12.407847815,791.5175665849431,0.0,1.0,2.0,6.0,0.0,1.126666666665e-05,2.0,0.0,0.0,-615600.0,2.248,941.0,3823.0,10.157953646351007,20.315907256971823,225,0.6364862359270881,2.045,118.0,172.363
204.51707556209155,2.4400000000000004,17.5,190.0,0.1312499999999999,23.5,4.61366226,-0.179662072083338,194.0,22.875,1.125,57.75,14.75,-3.421398345,12567.09411811008,6.375,3.75,1.625,1.75,0.0,0.0,1.875,0.025296336249998,0.0,,0.0,534.0,1818.0,26.04574716849097,104.18298867396388,225,0.8424280689239971,1.3575,166.5,19.59
423.8916006104077,18.901562500000004,39.5,215.0,0.845,55.0,1.35700937,-2.329084296249999,149.5,20.0,1.5,36.0,4.0,-19.60391517,7663.755546064759,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-400000.0,1.101,305.82,1000.0,33.563100652369464,67.12620118023261,225,0.682573379182797,1.735,160.0,24.774
4456.838608224108,9.85111111111111,17.333333333333332,203.0,0.4755555555555557,25.33333333333333,5.92373598,-0.092449562222223,194.0,6.666666666666667,0.4444444444444443,49.0,7.0,-26.84345854833333,4456.838608224103,1.3333333333333333,3.1111111111111107,3.1111111111111107,6.333333333333333,0.0,0.0,0.0,0.003174256547616,0.0,,0.0,623.5555555555555,2607.0,18.77343639487717,112.64061835759516,227,0.7977121146996773,1.8433333333333333,165.0,15.68
1116.378093346849,2.5356790992244904,5.714285714285714,139.0,0.4040816326530612,1.2244897959183692,5.48006131,-0.300842039852219,222.7142857142857,22.04081632653061,0.8163265306122448,63.57142857142857,19.857142857142858,-40.62819491142857,22256.512032570696,7.346938775510204,2.0408163265306123,1.6326530612244896,2.142857142857143,0.0,8.860591133e-05,0.0,0.014431074999997,0.0,-178240.0,0.0,74.1510204081633,1519.0,16.866810405191075,118.0676727331639,12,0.6311469715141194,2.257142857142857,136.85714285714286,32.116
7576.547262263471,19.960300000008,23.92,215.0,0.6848000000000001,46.32,1.78234063,-0.331969978275862,222.0,22.56,1.6800000000000002,37.2,2.4,-18.756095997,7644.54159461303,1.0399999999999998,0.0,0.9600000000000002,0.8,0.0,0.0,0.96,0.0,0.0,,1.2874,375.8592,1000.0,44.16159724838012,441.6159639223956,194,0.6814457986766086,1.328,176.4,2.319
2037.1973242396944,5.183703703688889,12.666666666666666,175.0,0.2088888888888888,11.277777777777771,4.98161097,-0.601916393333335,171.16666666666666,7.111111111111112,0.2777777777777779,46.66666666666666,13.666666666666666,-23.6503608475,1994.139923529794,3.2222222222222228,2.2222222222222228,1.7777777777777777,3.333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,-380400.0,0.3731666666666666,420.9066666666667,2128.0,31.27400993498482,375.2881192198177,36,0.3717459717367155,1.9566666666666668,141.16666666666666,10.867
