sine coulomb matrix eig 1,MagpieData avg_dev GSvolume_pa,MagpieData avg_dev MendeleevNumber,MagpieData maximum CovalentRadius,MagpieData avg_dev Electronegativity,MagpieData avg_dev CovalentRadius,efermi,formation_energy_per_atom,MagpieData avg_dev SpaceGroupNumber,MagpieData avg_dev Number,MagpieData avg_dev Row,MagpieData mean Number,MagpieData mean NValence,density,MagpieData avg_dev NValence,sine coulomb matrix eig 4,MagpieData mean GSbandgap,MagpieData avg_dev NdValence,MagpieData avg_dev NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev MeltingT,MagpieData maximum MeltingT,MagpieData mean GSmagmom,MagpieData avg_dev NpUnfilled,MagpieData minimum GSmagmom,energy_above_hull,avg anion electron affinity,vpa,volume,spacegroup_num,ewald_energy,packing fraction,MagpieData mean Electronegativity,MagpieData mean CovalentRadius,KVRH
1113.8278376968804,11.857388649425,35.0,176.0,0.9534722222222222,48.47222222222222,3.754327179999999,-1.00085639941092,14.513888888888893,6.666666666666667,0.9722222222222222,15.0,3.6666666666666665,2.959594673577079,1.6666666666666667,688.1240099596579,2.6820833333333334,0.7638888888888888,1.6666666666666667,1.6666666666666667,539.4201388888889,1519.0,2.584339080458333e-05,1.4583333333333333,0.0,0.0,-21000.0,17.086427746211132,410.07415398514337,193,-809.1873517575772,0.7989768358402339,1.8958333333333333,129.16666666666666,78.322
19028.77298623068,13.659999999999998,34.0,195.0,0.3350000000000001,25.0,4.01961592,-0.494066029999999,15.5,21.5,0.5,59.5,14.5,7.230087156653698,12.5,0.0,0.0,5.0,2.5,2.5,236.5,1050.0,0.0,2.5,0.0,0.0,,33.53229890042834,67.06459780085667,221,0.0,0.9280788328551776,1.285,170.0,25.126
204.7147738504292,8.212500000000002,30.0,215.0,0.29625,37.5,6.33678949,-0.344917513749998,28.75,29.0,1.5,60.0,5.5,7.178167068725801,4.25,5863.244684053694,0.0,3.5,3.5,5.5,304.48,1323.0,0.0,1.5,0.0,0.0,,34.527154402877976,138.1086176115119,225,0.0,0.6446080668845339,1.3675000000000002,177.5,38.111
11932.989919245998,2.034166666649999,35.75,192.0,0.7349999999999999,29.5,1.8908047,-1.9887348307812511,98.75,15.25,0.875,36.5,11.5,5.6990712432171495,5.25,2624.6029428316947,0.3995,5.0,0.5,2.0,485.26625,1747.0,0.0,1.0,0.0,0.0,-390000.0,25.19187113715159,100.7674679851322,166,-225.23221249083508,0.5916548860038486,1.815,149.5,37.932
42.55516930897603,5.525,17.0,160.0,0.5049999999999999,42.0,7.67533018,-0.809061625416667,0.0,8.0,1.0,14.0,4.0,4.894158001928937,0.0,791.5175665849431,2.248,1.0,2.0,6.0,941.0,3823.0,1.126666666665e-05,2.0,0.0,0.0,-615600.0,10.157953646351007,20.315907256971823,225,-743.642450197998,0.6364862359270881,2.045,118.0,251.478
204.51707556209155,2.4400000000000004,17.5,190.0,0.1312499999999999,23.5,4.61366226,-0.179662072083338,0.0,22.875,1.125,57.75,14.75,9.030164895239446,6.375,12567.09411811008,0.0,3.75,1.625,1.75,534.0,1818.0,0.0,1.875,0.0,0.025296336249998,,26.04574716849097,104.18298867396388,225,0.0,0.8424280689239971,1.3575,166.5,51.653
423.8916006104077,18.901562500000004,39.5,215.0,0.845,55.0,1.35700937,-2.329084296249999,79.5,20.0,1.5,36.0,4.0,4.190346371817915,2.0,7663.755546064759,1.101,0.0,1.0,1.0,305.82,1000.0,0.0,1.0,0.0,0.0,-400000.0,33.563100652369464,67.12620118023261,225,-124.82039873679064,0.682573379182797,1.735,160.0,41.171
4456.838608224108,9.85111111111111,17.333333333333332,203.0,0.4755555555555557,25.33333333333333,5.92373598,-0.092449562222223,0.0,6.666666666666667,0.4444444444444443,49.0,7.0,10.114362524571728,1.3333333333333333,4456.838608224103,0.0,3.1111111111111107,3.1111111111111107,6.333333333333333,623.5555555555555,2607.0,0.0,0.0,0.0,0.003174256547616,,18.77343639487717,112.64061835759516,227,0.0,0.7977121146996773,1.8433333333333333,165.0,151.337
1116.378093346849,2.5356790992244904,5.714285714285714,139.0,0.4040816326530612,1.2244897959183692,5.48006131,-0.300842039852219,3.265306122448976,22.04081632653061,0.8163265306122448,63.57142857142857,19.857142857142858,15.396313919322116,7.346938775510204,22256.512032570696,0.0,2.0408163265306123,1.6326530612244896,2.142857142857143,74.1510204081633,1519.0,8.860591133e-05,0.0,0.0,0.014431074999997,-178240.0,16.866810405191075,118.0676727331639,12,-88.71426015812013,0.6311469715141194,2.257142857142857,136.85714285714286,127.572
7576.547262263471,19.960300000008,23.92,215.0,0.6848000000000001,46.32,1.78234063,-0.331969978275862,11.2,22.56,1.6800000000000002,37.2,2.4,3.376438755251404,1.0399999999999998,7644.54159461303,1.2874,0.0,0.9600000000000002,0.8,375.8592,1000.0,0.0,0.96,0.0,0.0,,44.16159724838012,441.6159639223956,194,0.0,0.6814457986766086,1.328,176.4,1.319
2037.1973242396944,5.183703703688889,12.666666666666666,175.0,0.2088888888888888,11.277777777777771,4.98161097,-0.601916393333335,25.55555555555556,7.111111111111112,0.2777777777777779,46.66666666666666,13.666666666666666,5.966838041820205,3.2222222222222228,1994.139923529794,0.3731666666666666,2.2222222222222228,1.7777777777777777,3.333333333333333,420.9066666666667,2128.0,0.0,0.6666666666666666,0.0,0.0,-380400.0,31.27400993498482,375.2881192198177,36,-589.9741176771433,0.3717459717367155,1.9566666666666668,141.16666666666666,13.848
